RelationshipStatus,HowLongRelationship,HowOften,Snores,FrequentBathroom,Sick,NoIntimate,TempPreferences,Argument,NoSpace,NoCovers,Child,NightWorking,FirstTime,StayTogether,SleepBetter,SexLife,Occupation,Gender,Age,Income,Education,Location
"Single, but cohabiting with a significant other",6-10 years,Once a year or less,0,0,0,0,0,1,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat agree,Strongly agree,Strongly disagree,Sales and Related Occupations,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Mountain
Married,More than 20 years,Once a year or less,1,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,"Education, Training, and Library Occupations",Male,30-44,,Graduate degree,West North Central
Married,6-10 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Sales and Related Occupations,Male,30-44,,Bachelor degree,Pacific
Married,11-15 years,Once a year or less,1,0,0,0,0,0,0,0,0,1,Within 6-10 years of our relationship,Neither agree nor disagree,Strongly agree,Somewhat disagree,Transportation and Materials Moving Occupations,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,West North Central
Married,6-10 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,"Education, Training, and Library Occupations",Male,18-29,"$50,000 - $99,999",Bachelor degree,New England
In a domestic partnership or civil union,11-15 years,A few times per week,0,0,0,0,0,1,0,0,0,1,Within 6-10 years of our relationship,Strongly agree,Somewhat agree,Somewhat agree,Other,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,Pacific
"Single, but cohabiting with a significant other",Less than 1 year,Never,0,0,0,0,0,0,0,0,0,0,,,,,Architecture and Engineering Occupations,Male,18-29,"$25,000 - $49,999",Bachelor degree,East North Central
"Single, but cohabiting with a significant other",1-5 years,Once a month or less,0,0,0,0,0,0,1,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Construction and Extraction Occupations,Male,18-29,,High school degree,West South Central
"Single, but cohabiting with a significant other",1-5 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Food Preparation and Serving Related Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
Married,16-20 years,Once a month or less,1,0,0,0,1,1,0,0,0,1,Within the first 1-5 years of our relationship,Strongly agree,Neither agree nor disagree,Somewhat disagree,Homemaker,Male,30-44,"$150,000+",Some college or Associate degree,Pacific
"Single, but cohabiting with a significant other",1-5 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,"Life, Physical, and Social Science Occupations",Male,18-29,,Bachelor degree,Middle Atlantic
Married,1-5 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Business and Financial Operations Occupations,Male,30-44,"$100,000 - $149,999",Graduate degree,Mountain
Married,6-10 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Computer and Mathematical Occupations,Male,30-44,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
Married,More than 20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Healthcare Support Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,Mountain
Married,6-10 years,Once a month or less,0,0,0,0,0,0,0,0,1,0,Within 6-10 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,30-44,,Some college or Associate degree,Mountain
"Single, but cohabiting with a significant other",Less than 1 year,Every night,1,0,0,0,0,0,1,0,0,0,Immediately/ We've always slept in separate beds,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,18-29,,High school degree,East North Central
Married,6-10 years,Once a year or less,0,0,0,0,0,0,0,0,0,1,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Healthcare Practitioners and Technical Occupations,Male,30-44,"$150,000+",Graduate degree,Pacific
Married,6-10 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Architecture and Engineering Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,East South Central
Married,6-10 years,Once a year or less,0,0,0,0,0,0,0,0,0,1,Immediately/ We've always slept in separate beds,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Computer and Mathematical Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,Pacific
"Single, but cohabiting with a significant other",1-5 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Sales and Related Occupations,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,West South Central
Married,11-15 years,Once a year or less,1,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
Married,16-20 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Sales and Related Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
Married,6-10 years,A few times per month,0,0,0,0,0,1,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Life, Physical, and Social Science Occupations",Male,18-29,"$50,000 - $99,999",Graduate degree,Mountain
Married,16-20 years,Once a year or less,0,0,1,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Architecture and Engineering Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,West North Central
Married,6-10 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Computer and Mathematical Occupations,Male,30-44,,Bachelor degree,Pacific
Married,1-5 years,Never,0,0,0,0,0,0,0,0,0,0,,,,,Retired,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,West North Central
Married,More than 20 years,Every night,1,0,0,0,0,0,0,0,0,0,After 20 years of our relationship,Somewhat agree,Strongly agree,Neither agree nor disagree,Sales and Related Occupations,Male,45-60,,Graduate degree,East North Central
